detected_at,domain,loc,change_type,first_seen_at,last_seen_at,lastmod,lastmod_prev,sitemap_source_url,section,subsection,path_depth
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/about,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/applications/rocket-mortgage,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/amortization-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/down-payment-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/home-affordability-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/home-affordability-calculator-results,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/home-equity-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/mortgage-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/mortgage-payoff-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/refinance-calculator,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/calculators/rent-vs-buy,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/canada,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/down-payment-assistance,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/faqs,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/financia-tus-suenos,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/legal,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/legal/politica-de-correo-electronico-y-de-mensajes-de-texto,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/legal/revelaciones-y-licencias,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/legal/terminos-de-uso,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
2025-12-10 09:19:50.350288+00:00,rocketmortgage.com,https://www.rocketmortgage.com/es/prestamos-hipotecarios,discovered,,,,,https://www.rocketmortgage.com/sitemap.xml,,,
