sitemap_url,domain,sitemap_type,url_count,content_hash,content_length,fetched_at
https://www.bankrate.com/sitemap/sitemap-index.xml,bankrate.com,sitemapindex,0,760c63591fdeb923985ae63c29c5ebcd912aafaac92684eefac530cf98ba128a,1756,2025-12-13T09:26:50.802850+00:00
https://www.bankrate.com/sitemap/authors-dynamic-sitemap.xml,bankrate.com,urlset,0,5a5f56855287fcb92e8b047aa4ab555c33b288ed9c4b90ec4dc710810fb615c4,47628,2025-12-13T09:26:52.101710+00:00
https://www.bankrate.com/sitemap/news-1.xml,bankrate.com,urlset,0,7e21a5c81b072611d2cc555b9ea9cbe32363f3119681a47781f4f77241c69179,1938,2025-12-13T09:26:53.605418+00:00
https://www.bankrate.com/sitemap/sb-dynamic-sitemap.xml,bankrate.com,urlset,0,a526518df8be6a559dfcda8fd1565225f026122bb06829b1849d8dd9cbf1bb85,270047,2025-12-13T09:26:55.096525+00:00
https://www.bankrate.com/sitemap/wealth-fam-geo.xml,bankrate.com,urlset,0,c251503149438f9517631c11732077fab99c9c80e2dc81e2abf0f3d3ef1deb0e,2537,2025-12-13T09:26:56.634503+00:00
https://www.bankrate.com/sitemap/wp-post-1.xml,bankrate.com,urlset,0,bebda22f148ee2d76ca341e66fbe1fc5da2426e19fc5d270233e8698c5820cf1,144620,2025-12-13T09:26:58.091384+00:00
https://www.bankrate.com/sitemap/wp-post-2.xml,bankrate.com,urlset,0,3cf8e8850cff2c33109d06f9e2f7cdd0ee038bb5352a5336a6e22d26906175c8,144704,2025-12-13T09:26:59.592709+00:00
https://www.bankrate.com/sitemap/wp-post-3.xml,bankrate.com,urlset,0,2d799f26c077bb7e6d6f2236f0a0e17cf5031e364b56d3a94bbfe2e8f65d95a8,145199,2025-12-13T09:27:01.210339+00:00
https://www.bankrate.com/sitemap/wp-post-4.xml,bankrate.com,urlset,0,a65bab1014c5ff2ee86cf049c34b781d54de8b21b9c062938ae7b2a2f5692b83,145906,2025-12-13T09:27:02.781903+00:00
https://www.bankrate.com/sitemap/wp-post-5.xml,bankrate.com,urlset,0,70c8c5abe5e724c7655fe1ba021b81d5855086b02a01a167b9eda1693c3867a0,145413,2025-12-13T09:27:04.252456+00:00
https://www.bankrate.com/sitemap/wp-post-6.xml,bankrate.com,urlset,0,3e669867b65ed6c1754835ed31417c6737b8f7ab7950284415e6295c4802333e,143711,2025-12-13T09:27:05.629370+00:00
https://www.bankrate.com/sitemap/wp-post-7.xml,bankrate.com,urlset,0,1f511fdb83c52fd76709ee40f104e9ce6a9f04f0953aa746e6ac30aadf2a07c5,142969,2025-12-13T09:27:07.134717+00:00
https://www.bankrate.com/sitemap/wp-post-8.xml,bankrate.com,urlset,0,7fc694fb0560e581156a57de13f3f4e0f0ec61ed3819dbcb2fe39aca6fb35a15,139390,2025-12-13T09:27:08.638664+00:00
https://www.bankrate.com/custom_sitemap.xml,bankrate.com,urlset,0,34caaacd285f0e82b2840fd8e75ceaccde44db529d5bd1c784b531f90c4fbb53,205,2025-12-13T09:27:10.283031+00:00
